Nome;Rodada;Custo;Tempo
kroB100;1;22141;5.236
kroB100;2;22141;5.444
kroB100;3;22141;5.343
kroB100;4;22141;5.371
kroB100;5;22141;4.953
kroB100;6;22141;5.379
kroB100;7;22141;4.995
kroB100;8;22141;5.113
kroB100;9;22141;5.051
kroB100;10;22141;5.239
kroB150;1;26130;16.438
kroB150;2;26130;16.194
kroB150;3;26130;15.877
kroB150;4;26130;15.780
kroB150;5;26130;15.172
kroB150;6;26130;15.502
kroB150;7;26130;15.697
kroB150;8;26130;15.212
kroB150;9;26130;16.914
kroB150;10;26130;16.222
kroB200;1;29439;57.613
kroB200;2;29438;58.930
kroB200;3;29439;55.022
kroB200;4;29437;51.821
kroB200;5;29438;51.807
kroB200;6;29437;56.521
kroB200;7;29439;57.790
kroB200;8;29439;53.719
kroB200;9;29437;59.544
kroB200;10;29437;53.665
kroC100;1;20749;4.996
kroC100;2;20749;5.089
kroC100;3;20749;5.188
kroC100;4;20749;5.662
kroC100;5;20749;5.494
kroC100;6;20749;5.539
kroC100;7;20749;5.495
kroC100;8;20749;5.406
kroC100;9;20749;4.818
kroC100;10;20749;4.856
kroD100;1;21294;5.566
kroD100;2;21294;5.475
kroD100;3;21294;5.477
kroD100;4;21294;5.584
kroD100;5;21294;5.349
kroD100;6;21294;5.743
kroD100;7;21294;5.378
kroD100;8;21294;5.730
kroD100;9;21294;5.622
kroD100;10;21294;5.299
kroE100;1;22068;6.005
kroE100;2;22068;5.304
kroE100;3;22068;5.073
kroE100;4;22068;5.792
kroE100;5;22068;5.685
kroE100;6;22068;5.933
kroE100;7;22068;5.884
kroE100;8;22068;5.886
kroE100;9;22068;5.831
kroE100;10;22068;5.348
lin105;1;14379;5.995
lin105;2;14379;6.051
lin105;3;14379;5.956
lin105;4;14379;6.028
lin105;5;14379;6.417
lin105;6;14379;6.131
lin105;7;14379;6.186
lin105;8;14379;6.382
lin105;9;14379;6.067
lin105;10;14379;5.789
lin318;1;42080;289.180
lin318;2;42029;295.821
lin318;3;42029;339.553
lin318;4;42029;321.278
lin318;5;42104;316.282
lin318;6;42112;275.302
lin318;7;42097;317.912
lin318;8;42051;312.604
lin318;9;42029;291.375
lin318;10;42072;311.592
lin318;1;42029;328.474
lin318;2;42029;323.472
lin318;3;42050;308.219
lin318;4;42029;322.728
lin318;5;42029;362.970
lin318;6;42029;296.675
lin318;7;42029;306.270
lin318;8;42029;296.471
lin318;9;42091;268.127
lin318;10;42051;285.942
pcb442;1;50933;1020.311
pcb442;2;50809;1065.414
pcb442;3;50785;972.173
pcb442;4;50915;973.410
pcb442;5;50832;988.265
pcb442;6;50832;983.485
pcb442;7;50921;988.966
pcb442;8;50831;1032.266
pcb442;9;50890;1148.880
pcb442;10;50919;1045.100
pr107;1;44303;6.902
pr107;2;44303;7.211
pr107;3;44303;6.584
pr107;4;44303;6.766
pr107;5;44303;6.257
pr107;6;44303;6.799
pr107;7;44303;6.593
pr107;8;44303;6.334
pr107;9;44303;6.625
pr107;10;44303;7.920
pr124;1;59030;10.063
pr124;2;59030;10.670
pr124;3;59030;10.088
pr124;4;59030;9.934
pr124;5;59030;9.681
pr124;6;59030;10.288
pr124;7;59030;9.635
pr124;8;59030;9.956
pr124;9;59030;9.585
pr124;10;59030;9.233
pr136;1;96772;18.169
pr136;2;96772;20.169
pr136;3;96772;20.679
